team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
SL Benfica,Benfica,2018/2019,Portugal,2.4,13,6,7,0,9,4,5,2,1,1,2,1,1,2.23,2.17,2.29,4,6,1,4,25,11,14,36,18,18,12,13,6,5,6,8,47,45,48,106,90,127,7,3,4,5,3,2,1,0,1,10,5,5,92,46,46,32,16,16,60,64,56,174,87,87,90,45,45,84,42,42,90,45,45,12,5,7,6,3,3,6,2,4,7,2,5,4,3,1,2,1,1,1.92,1.5,2.29,2.77,3,2.57,1.92,2,1.86,0.85,1,0.71,1.38,1.33,1.43,0.92,0.83,1,0.46,0.5,0.43,13,10,6,6,1,0,6,5,3,3,1,0,7,5,3,3,0,0,0,3,7,7,12,13,0,1,3,3,5,6,0,2,4,4,7,7,100,77,46,46,8,0,100,83,50,50,17,0,100,71,43,43,0,0,0,23,54,54,92,100,0,17,50,50,83,100,0,29,57,57,100,100,10,5,2,3,2,2,7,3,0,77,38,15,50,33,33,100,43,0,69,67,71,-7,54,50,57,38,50,29,8,0,14,77,83,71,10,5,5,77,83,71,4,3,1,31,50,14,2,1,1,15,17,14,54,33,71,31,50,14,15,17,14,7.08,7.67,6.57,2.46,2.67,2.29,85,62,54,46,38,23,15,15,54,4,1,2,3,3,1,5,2,4,2,1,0,2,1,0,1,2,2
FC Porto,Porto,2018/2019,Portugal,3,13,7,6,0,11,6,5,0,0,0,2,1,1,2.54,2.57,2.5,1,3,2,1,28,8,20,36,22,14,18,10,4,4,14,6,42,35,54,145,158,134,8,5,3,4,2,2,1,0,1,10,6,4,96,58,38,30,13,17,58,58,57,161,104,57,71,48,23,90,56,34,71,48,23,12,9,3,2,1,1,10,8,2,6,4,2,7,3,4,0,0,0,1.92,2.14,1.67,2.77,3.14,2.33,2.15,2.57,1.67,0.62,0.57,0.67,1.08,1.43,0.67,0.92,1.29,0.5,0.15,0.14,0.17,13,9,6,4,4,0,7,5,4,3,3,0,6,4,2,1,1,0,0,4,7,9,9,13,0,2,3,4,4,7,0,2,4,5,5,6,100,69,46,31,31,0,100,71,57,43,43,0,100,67,33,17,17,0,0,31,54,69,69,100,0,29,43,57,57,100,0,33,67,83,83,100,8,5,1,5,4,1,3,1,0,62,38,8,71,57,14,50,17,0,85,86,83,14,62,71,50,31,29,33,8,0,17,77,86,67,11,6,5,85,86,83,5,2,3,38,29,50,2,1,1,15,14,17,46,57,33,54,43,67,0,0,0,7.38,8.29,6.33,2.31,1.86,2.83,92,85,69,62,54,38,38,31,62,0,4,4,1,4,3,2,4,6,1,0,0,1,0,1,2,1,2
Sporting Clube de Portugal,Sporting CP,2018/2019,Portugal,3,13,7,6,0,10,7,3,1,0,1,2,0,2,2.38,3,1.67,2,1,6,2,30,14,16,44,24,20,19,11,5,9,14,2,39,33,49,83,127,60,3,3,0,9,4,5,1,0,1,7,5,2,80,48,32,38,17,21,52,55,49,157,85,72,67,39,28,90,46,44,67,39,28,11,8,3,9,4,5,2,4,-2,5,4,1,5,2,3,3,1,2,1.54,2,1,3.38,3.43,3.33,2.31,2.71,1.83,1.08,0.71,1.5,1.54,1.71,1.33,0.85,1.14,0.5,0.69,0.57,0.83,13,11,9,5,3,2,7,6,5,2,2,1,6,5,4,3,1,1,0,2,4,8,10,11,0,1,2,5,5,6,0,1,2,3,5,5,100,85,69,38,23,15,100,86,71,29,29,14,100,83,67,50,17,17,0,15,31,62,77,85,0,14,29,71,71,86,0,17,33,50,83,83,10,7,3,6,4,2,4,3,1,77,54,23,86,57,29,67,50,17,77,100,50,26,23,43,0,69,57,83,8,0,17,54,71,33,6,4,2,46,57,33,5,1,4,38,14,67,5,3,2,38,43,33,38,57,17,38,29,50,23,14,33,6.15,6.86,5.33,2.92,2.43,3.5,92,92,92,69,38,38,23,8,85,2,2,2,4,2,1,7,4,6,2,3,2,1,1,0,1,0,4
CD Nacional Funchal,Nacional,2018/2019,Portugal,1.6,13,6,7,0,3,1,2,4,1,3,6,4,2,1,0.67,1.29,13,18,8,13,15,26,-11,41,12,29,2,13,10,16,-8,-3,78,273,48,45,54,39,3,2,1,7,1,6,5,4,1,4,1,3,64,36,28,30,8,22,51,55,47,154,73,81,73,34,39,81,39,42,73,34,39,7,0,7,11,5,6,-4,-5,1,2,0,2,6,2,4,5,4,1,0.92,0.33,1.43,3.15,2,4.14,1.15,0.33,1.86,2,1.67,2.29,1.38,0.83,1.86,0.54,0,1,0.85,0.83,0.86,11,9,8,5,4,3,5,3,3,1,0,0,6,6,5,4,4,3,2,4,5,8,9,10,1,3,3,5,6,6,1,1,2,3,3,4,85,69,62,38,31,23,83,50,50,17,0,0,86,86,71,57,57,43,15,31,38,62,69,77,17,50,50,83,100,100,14,14,29,43,43,57,9,5,3,4,1,0,5,4,3,69,38,23,67,17,0,71,57,43,23,17,29,-27,23,33,14,54,17,86,38,67,14,31,17,43,5,2,3,38,33,43,8,6,2,62,100,29,4,0,4,31,0,57,15,0,29,46,33,57,38,67,14,4.92,6,4,2.31,1.33,3.14,62,46,46,46,38,31,31,15,77,1,0,4,1,2,0,3,1,3,4,0,2,3,3,0,5,4,5
GD Chaves,Chaves,2018/2019,Portugal,0,13,6,7,0,2,1,1,1,1,0,10,4,6,0.54,0.67,0.43,18,17,15,18,10,21,-11,31,14,17,6,4,8,13,-2,-9,117,90,158,56,68,48,1,1,0,6,3,3,6,2,4,3,1,2,56,29,27,32,10,22,48,51,45,108,59,49,44,24,20,64,35,29,44,24,20,4,2,2,9,4,5,-5,-2,-3,3,1,2,3,1,2,7,4,3,0.92,0.67,1.14,2.38,2.33,2.43,0.77,1,0.57,1.62,1.33,1.86,1,1,1,0.31,0.33,0.29,0.69,0.67,0.71,13,8,7,2,1,0,6,4,3,1,0,0,7,4,4,1,1,0,0,5,6,11,12,13,0,2,3,5,6,6,0,3,3,6,6,7,100,62,54,15,8,0,100,67,50,17,0,0,100,57,57,14,14,0,0,38,46,85,92,100,0,33,50,83,100,100,0,43,43,86,86,100,10,2,1,5,1,0,5,1,1,77,15,8,83,17,0,71,14,14,15,17,14,24,8,17,0,46,50,43,46,33,57,23,17,29,6,2,4,46,33,57,10,5,5,77,83,71,0,0,0,0,0,0,23,17,29,23,17,29,54,67,43,4.31,4.83,3.86,2.46,1.67,3.14,92,77,69,69,62,38,23,8,46,0,1,1,2,2,0,0,2,2,1,3,1,2,2,3,1,3,5
